Old Name,New Name
BOROUGH HALL -- 2345R,BOROUGH HALL -- 2345R
BOROUGH HALL -- R2345,BOROUGH HALL -- 2345R
ATL AV-BARCLAY -- BDNQR2345,ATL AV-BARCLAY -- BDNQR2345
ATL AV-BARCLAY -- 2345BDNQR,ATL AV-BARCLAY -- BDNQR2345
59 ST COLUMBUS -- 1ABCD,59 ST COLUMBUS -- 1ABCD
59 ST COLUMBUS -- ABCD1,59 ST COLUMBUS -- 1ABCD
59 ST -- 456NQRW,59 ST -- 456NQRW
59 ST -- NQR456W,59 ST -- 456NQRW
36 ST -- MR,36 ST -- MR
36 ST -- DNR,36 ST -- MR
34 ST-PENN STA -- 123ACE,34 ST-PENN STA -- 123ACE
34 ST-PENN STA -- ACE,34 ST-PENN STA -- 123ACE
14 ST -- 1,14 ST -- 123FLM
14 ST -- 123FLM,14 ST -- 123FLM
14 ST -- FLM123,14 ST -- 123FLM
TIMES SQ-42 ST -- 1237ACENQRS,TIMES SQ-42 ST -- 1237ACENQRSW
TIMES SQ-42 ST -- 1237ACENQRSW,TIMES SQ-42 ST -- 1237ACENQRSW
TIMES SQ-42 ST -- ACENQRS1237W,TIMES SQ-42 ST -- 1237ACENQRSW
CHAMBERS ST -- 123,CHAMBERS ST -- ACE23
CHAMBERS ST -- ACE23,CHAMBERS ST -- ACE23
