Combined,county,tract
1 AV -- L,61,4400
103 ST -- 1,61,19100
103 ST -- 6,61,16600
103 ST -- BC,61,18900
103 ST -- BC,61,18900
103 ST-CORONA -- 7,81,40500
104 ST -- JZ,81,2600
104 ST -- JZ,81,2600
110 ST -- 6,61,17200
111 ST -- 7,81,39900
111 ST -- J,81,12400
116 ST -- 23,61,19000
116 ST -- 23,61,19000
116 ST -- 6,61,18200
116 ST -- BC,61,21800
116 ST -- BC,61,21800
116 ST-COLUMBIA -- 1,61,20300
121 ST -- JZ,81,14400
121 ST -- JZ,81,14400
125 ST -- 1,61,21100
125 ST -- 23,61,20000
125 ST -- 23,61,20000
125 ST -- 456,61,19600
125 ST -- 456,61,19600
125 ST -- 456,61,19600
125 ST -- ACBD,61,21500
125 ST -- ACBD,61,21500
125 ST -- ACBD,61,21500
125 ST -- ACBD,61,21500
135 ST -- 23,61,21200
135 ST -- 23,61,21200
135 ST -- BC,61,22102
135 ST -- BC,61,22102
137 ST CITY COL -- 1,61,22301
138/GRAND CONC -- 45,5,5100
138/GRAND CONC -- 45,5,5100
14TH STREET -- 1,61,5400
14 ST -- 123FLM,61,5400
14 ST -- 123FLM,61,5400
14 ST -- FLM123,61,8100
14 ST -- FLM123,61,8100
14 ST -- FLM123,61,8100
14 ST -- ACEL,61,8100
14 ST -- ACEL,61,8100
14 ST -- ACEL,61,8100
14 ST -- ACEL,61,8100
14 ST-UNION SQ -- LNQR456W,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
14 ST-UNION SQ -- 456LNQRW,61,5000
145 ST -- 1,61,22900
145 ST -- 3,61,23600
145 ST -- ABCD,61,23100
145 ST -- ABCD,61,23100
145 ST -- ABCD,61,23100
145 ST -- ABCD,61,23100
149/GRAND CONC -- 245,5,5100
149/GRAND CONC -- 245,5,5100
149/GRAND CONC -- 245,5,5100
15 ST-PROSPECT -- FG,47,16900
15 ST-PROSPECT -- FG,47,16900
155 ST -- BD,61,24302
155 ST -- C,61,23900
155 ST -- BD,61,24302
157 ST -- 1,61,24100
161/YANKEE STAD -- 4BD,5,6300
161/YANKEE STAD -- BD4,5,19500
161/YANKEE STAD -- 4BD,5,6300
163 ST-AMSTERDM -- C,61,24500
167 ST -- 4,5,19700
167 ST -- BD,5,17901
167 ST -- BD,5,17901
168 ST -- AC1,61,25100
168 ST -- AC1,61,25100
168 ST -- AC1,61,25100
169 ST -- F,81,46000
170 ST -- 4,5,22101
170 ST -- BD,5,22500
170 ST -- BD,5,22500
174 ST -- 25,5,16100
174 ST -- 25,5,16100
174-175 STS -- BD,5,22901
174-175 STS -- BD,5,22901
175 ST -- A,61,26500
176 ST -- 4,5,22701
18 AV -- D,47,27800
18 AV -- F,47,48000
18 AV -- N,47,24800
18 ST -- 1,61,8700
181 ST -- 1,61,26900
181 ST -- A,61,27300
182-183 STS -- BD,5,38301
182-183 STS -- BD,5,38301
183 ST -- 4,5,23900
190 ST -- A,61,28100
191 ST -- 1,61,27900
2 AV -- F,61,3602
20 AV -- D,47,28800
20 AV -- N,47,25400
207 ST -- 1,61,29900
21 ST -- G,81,1900
21 ST-QNSBRIDGE -- F,81,3300
215 ST -- 1,61,29900
219 ST -- 25,5,39000
225 ST -- 25,5,40600
23 ST -- 1,61,9100
23 ST -- 6,61,6800
23 ST -- CE,61,9100
23 ST -- CE,61,9100
23 ST -- FM,61,5800
23 ST -- FM,61,5800
23 ST -- NRW,61,5600
23 ST -- NRW,61,5600
231 ST -- 1,5,28300
233 ST -- 25,5,42200
238 ST -- 1,5,28300
25 AV -- D,47,29800
25 ST -- R,47,10100
28 ST -- 1,61,9500
28 ST -- 6,61,7200
28 ST -- NRW,61,5800
28 ST -- NRW,61,5800
3 AV -- L,61,4800
3 AV 138 ST -- 6,5,3900
3 AV-149 ST -- 25,5,6500
3 AV-149 ST -- 25,5,6500
30 AV -- NQW,81,7100
30 AV -- NQW,81,7100
33 ST -- 6,61,7200
33 ST-RAWSON ST -- 7,81,17900
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-HERALD SQ -- BDFMNQRW,61,7600
34 ST-PENN STA -- 123ACE,61,10900
34 ST-PENN STA -- 123ACE,61,10900
34 ST-PENN STA -- 123ACE,61,10900
34 ST-PENN STA -- ACE,61,10100
34 ST-PENN STA -- ACE,61,10100
34 ST-PENN STA -- ACE,61,10100
36 AV -- NQW,81,5300
36 AV -- NQW,81,5300
36 ST -- DNR,47,8400
36 ST -- MR,81,3100
36 ST -- N,47,8400
36 ST -- R,47,8400
36 ST -- MR,81,3100
39 AV -- NQW,81,3100
39 AV -- NQW,81,3100
4 AV-9 ST -- DFGMNR,47,13700
4 AV-9 ST -- DFGMNR,47,13700
4 AV-9 ST -- DFGMNR,47,13700
40 ST LOWERY ST -- 7,81,18101
42 ST-BRYANT PK -- BDFM7,61,9600
42 ST-BRYANT PK -- BDFM7,61,9600
42 ST-BRYANT PK -- BDFM7,61,9600
42 ST-BRYANT PK -- BDFM7,61,9600
42 ST-PORT AUTH -- ACENGRS1237W,61,12100
42 ST-PORT AUTH -- ACENQRS1237W,61,12100
42 ST-PORT AUTH -- ACENQRS1237W,61,12100
45 ST -- R,47,8000
46 ST -- MR,81,15300
46 ST -- MR,81,15300
46 ST BLISS ST -- 7,81,25301
47-50 STS ROCK -- BDFM,61,10400
47-50 STS ROCK -- BDFM,61,10400
47-50 STS ROCK -- BDFM,61,10400
47-50 STS ROCK -- BDFM,61,10400
49 ST -- NQRW,61,12500
49 ST -- NQRW,61,12500
49 ST -- NQRW,61,12500
5 AV/53 ST -- EM,61,10400
5 AV/53 ST -- EM,61,10400
59 ST -- 456NQRW,61,11401
59 ST -- NQR456W,61,11401
5 AV/59 ST -- NQRW,61,11401
5 AV-BRYANT PARK -- 7,61,8400
50 ST -- 1,61,13100
50 ST -- CE,61,13100
50 ST -- D,47,22000
50 ST -- CE,61,13100
51 ST -- 6,61,10000
52 ST -- 7,81,25302
53 ST -- R,47,7800
55 ST -- D,47,24000
57 ST -- F,61,11201
57 ST-7 AV -- NQRW,61,13700
57 ST-7 AV -- NQRW,61,13700
57 ST-7 AV -- NQRW,61,13700
59 ST -- 4,61,11000
59 ST -- 5,61,11000
59 ST -- 6,61,11000
59 ST -- NRW,47,7400
59 ST -- NRW,47,7400
59 ST COLUMBUS -- 1ABCD,61,13700
59 ST COLUMBUS -- ABCD1,61,13700
59 ST COLUMBUS -- ABCD1,61,13700
59 ST COLUMBUS -- ABCD1,61,13700
59 ST COLUMBUS -- ABCD1,61,13700
62 ST -- D,47,24200
63 DR-REGO PARK -- MR,81,71701
63 DR-REGO PARK -- MR,81,71701
65 ST -- MR,81,29300
65 ST -- MR,81,29300
66 ST-LINCOLN -- 1,61,14900
67 AV -- MR,81,71303
67 AV -- MR,81,71303
68ST-HUNTER CO -- 6,61,12000
69 ST -- 7,81,26300
7 AV -- BQ,47,16300
7 AV -- BDE,61,13100
7 AV -- BDE,61,13100
